VHF.Lib.B,VHF.Lib.A,UHF.Lib.B,UHF.Lib.A,SHF.Lib.B,SHF.Lib.A,VHF.Pro,VHF.SMM.B,VHF.SMM.A,VHF.Fron,UHF.Fron,HF.Cnaf.B,HF.Cnaf.A,HF.Cnaf.Ser,HF.Cnaf.Note,VHF.Cnaf.B,VHF.Cnaf.A,VHF.Cnaf.Ser,VHF.Cnaf.Note,UHF.Cnaf.B,UHF.Cnaf.A,UHF.Cnaf.Ser,UHF.Cnaf.Note
,,,,,,,,,173.0375,,,,,,,,,,,,,
,,,,,,,,,173.04,,,,,,,,,,,,,
,,,,,,,,,173.0425,,,,,,,,,,,,,
,,,,,,,,,173.045,,,,,,,,,,,,,
,,,,,,,,,173.0475,,,,,,,,,,,,,
,,,,,,,,,173.05,,,,,,,,,,,,,
,,,,,,,,,173.0525,,,,,,,,,,,,,
,,,,,,,,,173.055,,,,,,,,,,,,,
,,,,,,,,,173.0575,,,,,,,,,,,,,
,,,,,,,,,173.06,,,,,,,,,,,,,
,,,,,,,,,173.0625,,,,,,,,,,,,,
,,,,,,,,,173.065,,,,,,,,,,,,,
,,,,,,,,,173.0675,,,,,,,,,,,,,
,,,,,,,,,173.07,,,,,,,,,,,,,
,,,,,,,,,173.0725,,,,,,,,,,,,,
,,,,,,,,,173.075,,,,,,,,,,,,,
,,,,,,,,,173.0775,,,,,,,,,,,,,
,,,,,,,,,173.08,,,,,,,,,,,,,
